Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,# of Customers Affected Cleaned,Tags,Regions_raw,Region
Made Public Appeals,2010,1/6/2010,6:00 p.m.,1/8/2010,6:00 PM,Southwest Louisiana Electric Membership Corporation,Southwest Louisiana,SERC,,,,public appeal,Southwest Louisiana,Louisiana
Severe Weather,2009,12/18/2009,8:00 p.m.,12/25/2009,9:30 p.m.,American Electric Power,"West Virginia, Kentucky, Ohio",RFC,,"403,913","403,913",severe weather,"West Virginia, Kentucky, Ohio",West Virginia
Severe Weather,2009,12/18/2009,10:55 p.m.,12/19/2009,11:15 p.m.,Progress Energy Carolinas Inc,Western North Carolina,SERC,,"47,000","47,000",severe weather,Western North Carolina,North Carolina
Severe Weather,2009,12/10/2009,5:45 p.m.,12/12/2009,8:00 a.m.,Detroit Edison,Michigan,RFC,,"65,562","65,562",severe weather,Michigan,Michigan
Severe Weather,2009,12/9/2009,1:37 p.m.,12/10/2009,6:30 a.m.,American Electric Power,Ohio,RFC,,"48,102","48,102",severe weather,Ohio,Ohio
Load Shed/Made Public Appeals,2009,12/8/2009,6:34 a.m.,12/8/2009,12:00 p.m.,California Independent System Operator,California,WECC,,,,"load shedding, public appeal",California,California
Severe Weather,2009,12/8/2009,1:00 a.m.,12/10/2009,11:00 a.m.,Arizona Public Service,Arizona,WECC,,"140,000","140,000",severe weather,Arizona,Arizona
Forced Outage Equipment Failure,2009,12/7/2009,10:00 p.m.,12/8/2009,4:00 a.m.,California Department of Water Resources,California,WECC,400,,,equipment failure,California,California
Switching Failure,2009,11/18/2009,6:15 a.m.,11/18/2009,10:00 a.m.,California Dept of Water Resources,"Central Valley, CA",WECC,630,,,equipment failure,California,California
Tropical Storm Ida,2009,11/12/2009,6:45 p.m.,11/14/2009,4:25 a.m.,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,"335,000","335,000","severe weather, hurricane/tropical storm","Southeastern Virginia, Northeastern North Carolina",Virginia
High Winds,2009,10/13/2009,3:45 p.m.,10/13/2009,5:50 p.m.,Sacramento Municipal Utility District,Sacramento County,WECC,90,"94,000","94,000","severe weather, wind",California,California
Ice,2009,10/13/2009,12:48 p.m.,10/13/2009,2:34 p.m.,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,101,"35,500","35,500","severe weather, winter storm",Southeastern Wyoming,Wyoming
High Winds and Rain,2009,10/13/2009,4:00 p.m.,10/13/2009,10:30 p.m.,Pacific Gas and Electric,Northern California,WECC,350,"859,554","859,554","severe weather, wind, rain",Northern California,California
Transmission System Interruption,2009,10/9/2009,6:30 p.m.,10/9/2009,7:10 p.m.,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",WECC,180,,,transmission interruption,California,California
Winter Storm,2009,10/9/2009,10:45 p.m.,10/11/2009,4:00 p.m.,Entergy Corporation,Arkansas and North Louisiana,SERC,,"56,000","56,000","severe weather, winter storm",Arkansas and North Louisiana,Louisiana
Severe Storms,2009,10/7/2009,5:45 a.m.,10/9/2009,11:00 p.m.,Detroit Edison,Southeast Michigan,RFC,,"75,000","75,000","severe weather, storm",Southeast Michigan,Michigan
Made Public Appeals,2009,8/31/2009,10:31 a.m.,8/31/2009,12:00 a.m.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,,,,public appeal,California,California
Electrical System Separation,2009,8/29/2009,11:00 a.m.,8/29/2009,2:01 p.m.,Western Area Power Administration Upper Great Plains Region,Western South Dakota,MRO,373,18,18,islanding,Western South Dakota,South Dakota
Electrical System Separation,2009,8/29/2009,10:54 p.m.,8/29/2009,11:53 p.m.,Midwest ISO,Western South Dakota,RFC,84,0,0,islanding,Western South Dakota,South Dakota
Thunderstorms,2009,8/21/2009,7:00 p.m.,8/22/2009,8:00 a.m.,CenterPoint Energy,Houston Metropolitan Service Area,TRE,544,"80,000","80,000","severe weather, thunderstorm",Texas,Texas
Thunderstorms,2009,8/12/2009,6:25 p.m.,8/12/2009,10:00 a.m.,CenterPoint Energy,South Houston Service Area,TRE,491,"73,000","73,000","severe weather, thunderstorm",Texas,Texas
Severe Thunderstorms,2009,8/9/2009,7:31 p.m.,8/10/2009,9:59 a.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,,"58,156","58,156","severe weather, thunderstorm","Michigan, Lower Peninsula",Michigan
High Winds and Rain,2009,8/7/2009,11:00 p.m.,8/11/2009,10:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,,"137,000","137,000","severe weather, wind, rain",Western Region of Service Territory,Western Region of Service Territory
Made Public Appeals,2009,8/5/2009,3:00 p.m.,8/5/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,,,,public appeal,Texas,Texas
Thunderstorms,2009,8/4/2009,1:45 p.m.,8/8/2009,9:00 p.m.,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,"63,700","63,700","severe weather, thunderstorm","Northern Kentucky, Southwest Ohio and Central and South Indiana",Ohio
Highwinds,2009,8/2/2009,2:17 a.m.,8/3/2009,1:09 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,,"70,264","70,264","severe weather, wind","Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",Delaware
Loss of Part of Substation,2009,7/28/2009,8:18 p.m.,7/28/2009,8:33 p.m.,PacificCorp,Salt Lake City Utah and Northern Utah,WECC,316,,,equipment failure,Salt Lake City Utah and Northern Utah,Utah
Failure of Computer Hardware Used for Monitoring,2009,7/27/2009,5:05 a.m.,7/27/2009,5:47 a.m.,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,,,,equipment failure,"Chattanooga, Tennessee",Tennessee
Unit Tripped,2009,7/21/2009,5:34 a.m.,7/21/2009,8:43 a.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,136,1,1,generator trip,California,California
Severe Thunderstorm,2009,7/20/2009,9:50 p.m.,7/22/2009,7:00 p.m.,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,150,"86,058","86,058","severe weather, thunderstorm",Colorado,Colorado
Thunderstorms,2009,7/18/2009,7:00 p.m.,7/19/2009,9:00 p.m.,CenterPoint Energy,Houston/Galveston Area,TRE,51,"73,000","73,000","severe weather, thunderstorm",Texas,Texas
Made Public Appeals,2009,7/16/2009,1:00 p.m.,7/16/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,,public appeal,AEP Region,AEP Region
Made Public Appeals,2009,7/15/2009,1:00 p.m.,7/15/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,,public appeal,AEP Region,AEP Region
Made Public Appeals,2009,7/14/2009,1:00 p.m.,7/14/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,,,,public appeal,AEP Region,AEP Region
Made Public Appeals,2009,7/8/2009,1:30 p.m.,7/8/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,,,,public appeal,Texas,Texas
Made Public Appeals,2009,7/7/2009,3:30 p.m.,7/7/2009,7:00 p.m.,ERCOT ISO,"San Antonio, Texas",TRE,,,,public appeal,"San Antonio, Texas",Texas
Electrical System Separation,2009,7/2/2009,10:44 p.m.,7/3/2009,1:25 a.m.,ISO New England,Northern Maine,NPCC,0,0,0,islanding,Northern Maine,Maine
Severe Thunderstorms,2009,6/26/2009,5:00 p.m.,6/29/2009,9:00 a.m.,Connecticut Light and Power,Central Connecticut,NPCC,,"50,752","50,752","severe weather, thunderstorm",Central Connecticut,Connecticut
Severe Thunderstorms,2009,6/26/2009,1:00 a.m.,6/27/2009,9:00 a.m.,Duke Energy Midwest,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,327,"85,000","85,000","severe weather, thunderstorm","Southwest Ohio, Northern Kentudky, Central and Southern Indiana",Ohio
High Winds/Rain,2009,6/25/2009,3:30 p.m.,6/28/2009,8:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,,"118,000","118,000","severe weather, wind, rain",Western Region of Service Territory,Western Region of Service Territory
Made Public Appeals,2009,6/25/2009,3:16 p.m.,6/25/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,,,,public appeal,Texas,Texas
Made Public Appeals,2009,6/24/2009,1:30 p.m.,6/24/2009,10:00 p.m.,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Southwest Louisiana,SERC,,,,public appeal,Southwest Louisiana,Louisiana
Severe Storm,2009,6/19/2009,1:00 p.m.,6/19/2009,11:59 p.m.,Exelon Corporation ComEd,The Entire ComEd Service Territory,SERC,,"245,000","245,000","severe weather, storm",Illinois,Illinois
Severe Storm,2009,6/19/2009,12:01 a.m.,6/21/2009,11:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,75,"99,000","99,000","severe weather, storm",Michigan Lower Peninsula,Michigan
Fuel Supply Deficiency,2009,6/16/2009,11:00 p.m.,6/17/2009,2:00 a.m.,California Department of Water Resources,A.D. Edmonston Pumping Plant,WECC,300,0,0,fuel supply emergency,California,California
Severe Storm,2009,6/12/2009,4:37 p.m.,6/12/2009,6:53 p.m.,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,860,"136,000","136,000","severe weather, storm","Chattanooga, Tennessee",Tennessee
Severe Thunderstorm,2009,6/12/2009,10:00 p.m.,6/13/2009,6:00 p.m.,Southern Company,Georgia,SERC,290,"102,000","102,000","severe weather, thunderstorm",Georgia,Georgia
Severe Thunderstorms,2009,6/12/2009,5:45 p.m.,6/15/2009,11:59 p.m.,Entergy Corporation,"Arkansas, North Mississippi",SERC,,"81,645","81,645","severe weather, thunderstorm","Arkansas, North Mississippi",Mississippi
Severe Storms,2009,6/10/2009,6:00 p.m.,6/14/2009,10:00 a.m.,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,,"800,000","800,000","severe weather, storm",North and Central Texas,Texas
Severe Thunderstorms,2009,6/9/2009,5:25 p.m.,6/11/2009,5:00 a.m.,Baltimore Gas and Electric,Central Maryland,RFC,60,"85,091","85,091","severe weather, thunderstorm",Central Maryland,Maryland
Electrical System Separation,2009,6/5/2009,1:38 p.m.,6/5/2009,8:18 p.m.,Pacific Gas and Electric,East of Fresno California,WECC,1,70,70,islanding,East of Fresno California,California
Transmission Equipment Failure,2009,5/29/2009,9:05 a.m.,5/29/2009,7:57 p.m.,Big Rivers Electric Corporation,"Henderson County, Kentucky",SERC,342,1,1,"equipment failure, transmission interruption","Henderson County, Kentucky",Kentucky
Severe Thunderstorm,2009,5/8/2009,7:30 a.m.,5/8/2009,9:00 a.m.,The Empire District Electric Company,SW Missouri,SERC,266,"83,000","83,000","severe weather, thunderstorm",SW Missouri,Missouri
Severe Thunderstorm,2009,5/8/2009,1:30 p.m.,5/14/2009,11:20 p.m.,Ameren,Southern Illinois,SERC,300,"68,800","68,800","severe weather, thunderstorm",Southern Illinois,Illinois
High Winds,2009,4/27/2009,3:30 p.m.,4/28/2009,11:30 a.m.,CenterPoint Energy,Greater Houston/Galveston Area,TRE,176,"158,000","158,000","severe weather, wind",Texas,Texas
High Winds/Rain,2009,4/25/2009,2:30 p.m.,4/29/2009,1:00 a.m.,Detroit Edison,Western Region of Service Territory,RFC,,"125,000","125,000","severe weather, wind, rain",Western Region of Service Territory,Western Region of Service Territory
Complete Electric System Failure,2009,4/24/2009,11:09 a.m.,4/24/2009,11:21 a.m.,Constellation Energy,"Ruston, Louisiana",SERC,32,"11,000","11,000",unknown,"Ruston, Louisiana",Louisiana
Fuel Supply Deficiency,2009,4/23/2009,12:00 a.m.,Ongoing,Ongoing,"State of California, Department of Water Resources",Restricted Hydro Electric Capability,WECC,-,-,,fuel supply emergency,California,California
Substation Load Interruption,2009,4/23/2009,5:54 p.m.,4/23/2009,7:58 p.m.,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,"280,000","280,000",load shedding,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",California
Transmission Tripped,2009,4/23/2009,4:25 p.m.,4/24/2009,12:29 a.m.,Puget Sound Energy,"Skagit County, Washington",WECC,244,"93,300","93,300",equipment failure,"Skagit County, Washington",Washington
Severe Thunderstorms,2009,4/10/2009,10:00 p.m.,4/11/2009,2:30 a.m.,Southern Company,Alabama and Georgia,SERC,162,"56,679","56,679","severe weather, thunderstorm",Alabama and Georgia,Georgia
Winter Storm,2009,4/6/2009,1:00 a.m.,4/8/2009,12:00 p.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,75,"70,793","70,793","severe weather, winter storm","Michigan, Lower Peninsula",Michigan
Unit Shut Down,2009,3/8/2009,10:16 p.m.,3/8/2009,11:45 p.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,150,-,,unknown,California,California
Made Public Appeals,2009,3/3/2009,10:00 p.m.,3/4/2009,8:17 p.m.,American Electric Power,"Roanoke, Virginia",RFC,350,0,0,public appeal,"Roanoke, Virginia",Virginia
Transformer Faulted/Unit Tripped,2009,3/3/2009,6:48 a.m.,4/26/2009,6:05 a.m.,"New Covert Generating Company, LLC",Southwest Michigan,RFC,378,,,equipment failure,Southwest Michigan,Michigan
Winter Storm,2009,3/1/2009,10:00 p.m.,3/3/2009,6:00 p.m.,Dominion Virginia/North Carolina Power,Central Virginia - Spotsylvania County,SERC,210,"217,000","217,000","severe weather, winter storm",Central Virginia - Spotsylvania County,Virginia
Ice/Snow Storm,2009,3/1/2009,8:54 p.m.,3/3/2009,4:06 p.m.,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"1,000","180,000","180,000","severe weather, winter storm",Duke Energy Carolinas Balance Authority,
Transmission Equipment Failure,2009,3/1/2009,12:15 a.m.,3/1/2009,3:00 a.m.,El Paso Electric Company,"City of El Paso, Texas, County of El Paso",WECC,250,"132,000","132,000","equipment failure, transmission interruption","City of El Paso, Texas, County of El Paso",Texas
Severe Weather,2009,3/1/2009,4:00 p.m.,3/1/2009,11:25 p.m.,Southern Company,Southern Balancing Area,SERC,75,"60,000","60,000",severe weather,Southern Balancing Area,
Ice/Snow Storm,2009,2/23/2009,2:38 a.m.,2/24/2009,1:46 p.m.,Central Maine Power Company,Southern Central and Western Maine,NPCC,,"131,000","131,000","severe weather, winter storm",Southern Central and Western Maine,Maine
High Winds,2009,2/13/2009,2:30 a.m.,2/15/2009,3:00 a.m.,Ohio Edison Company,Central and Eastern Ohio,RFC,168,"184,000","184,000","severe weather, wind",Central and Eastern Ohio,Ohio
High Winds,2009,2/12/2009,2:30 a.m.,2/12/2009,6:00 a.m.,Midwest ISO,Central and Eastern Ohio,RFC,168,"184,000","184,000","severe weather, wind",Central and Eastern Ohio,Ohio
High Winds,2009,2/12/2009,8:00 a.m.,2/15/2009,10:00 p.m.,Penelec,Western and North Eastern Pennsylvania,RFC,130,"132,000","132,000","severe weather, wind",Western and North Eastern Pennsylvania,Pennsylvania
Severe Thunderstorms,2009,2/11/2009,6:18 p.m.,2/16/2009,8:10 p.m.,Allegheny Power,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,,"374,644","374,644","severe weather, thunderstorm","Maryland, Virginia, West Virginia and Pennsylvania",West Virginia
Severe Thunderstorms,2009,2/11/2009,6:00 p.m.,2/13/2009,5:00 p.m.,American Electric Power,"Kentucky, West Virginia and Ohio",RFC,,"279,813","279,813","severe weather, thunderstorm","Kentucky, West Virginia and Ohio",West Virginia
Severe Thunderstorms,2009,2/11/2009,9:00 p.m.,2/12/2009,12:00 p.m.,Midwest ISO,Northern Kentucky and Southwest Ohio,RFC,350,"63,000","63,000","severe weather, thunderstorm",Northern Kentucky and Southwest Ohio,Ohio
High Winds,2009,2/11/2009,2:30 a.m.,2/11/2009,12:00 p.m.,CenterPoint Energy,"Houston, Texas",TRE,350,"64,801","64,801","severe weather, wind",Texas,Texas
Severe Thunderstorms,2009,2/11/2009,7:00 p.m.,2/12/2009,11:00 a.m.,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,,"78,000","78,000","severe weather, thunderstorm",State of Kentucky,Kentucky
Winter Storm,2009,1/28/2009,12:10 a.m.,1/30/2009,9:20 p.m.,Midwest ISO,East Central Missouri,RFC,300,1,1,"severe weather, winter storm",East Central Missouri,Missouri
Ice/Snow Storm,2009,1/28/2009,10:00 a.m.,1/30/2009,9:20 p.m.,Duke Energy Ohio,Northern Kentucky and Southwest Ohio,RFC,,"53,600","53,600","severe weather, winter storm",Northern Kentucky and Southwest Ohio,Ohio
Ice/Snow Storm,2009,1/28/2009,7:50 a.m.,2/13/2009,8:03 a.m.,Duke Energy Indiana,Southern Indiana,RFC,,"53,700","53,700","severe weather, winter storm",Southern Indiana,Indiana
Winter Storm,2009,1/28/2009,3:00 a.m.,2/13/2009,8:03 a.m.,Midwest ISO,"Illinois, Indiana, Ohio and Kentucky",RFC,,"230,300","230,300","severe weather, winter storm","Illinois, Indiana, Ohio and Kentucky",Ohio
Ice Storm,2009,1/28/2009,9:00 a.m.,2/5/2009,8:00 a.m.,Tennessee Valley Authority,Northeast Tennessee and Southwest Kentucky,SERC,,"109,527","109,527","severe weather, winter storm",Northeast Tennessee and Southwest Kentucky,Tennessee
Ice Storm,2009,1/28/2009,6:00 a.m.,2/5/2009,6:00 p.m.,Vectren Energy Delivery of Indiana,"Indiana, Evansville, Metro Area",RFC,506,"75,000","75,000","severe weather, winter storm","Indiana, Evansville, Metro Area",Indiana
Ice Storm,2009,1/28/2009,4:00 a.m.,2/7/2009,5:00 p.m.,Henderson Municipal Power and Light,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,21,"3,500","3,500","severe weather, winter storm","City of Henderson, Kentucky and Portions of Henderson County, Kentucky",Kentucky
Ice/Snow Storm,2009,1/27/2009,3:43 p.m.,1/29/2009,9:00 a.m.,American Electric Power,CSWS-AEP West,RFC,,"59,402","59,402","severe weather, winter storm",AEP Region,AEP Region
Ice Storm,2009,1/27/2009,7:10 a.m.,2/4/2009,7:30 p.m.,Big Rivers Electric Corporation,Western Kentucky and Southern Indiana,SERC,350,3,3,"severe weather, winter storm",Western Kentucky and Southern Indiana,Kentucky
Winter Storm,2009,1/27/2009,11:00 a.m.,1/30/2009,6:00 p.m.,"Associated Electric Cooperative, Inc.",South Central and Southeast Missouri,SERC,200,"62,500","62,500","severe weather, winter storm",South Central and Southeast Missouri,Missouri
Ice Storm,2009,1/27/2009,9:00 p.m.,1/29/2009,6:00 a.m.,Arkansas Electric Cooperative Corporation,Northern Arkansas,SERC,600,"215,700","215,700","severe weather, winter storm",Northern Arkansas,Arkansas
Ice Storm,2009,1/27/2009,5:03 a.m.,1/31/2009,5:15 p.m.,"East Kentucky Power Cooperative, Inc.",Central and Eastern Kentrucky,SERC,600,"190,000","190,000","severe weather, winter storm",Kentucky,Kentucky
Ice Storm,2009,1/27/2009,1:46 p.m.,2/3/2009,5:00 p.m.,Entergy Corporation,Northern Arkansas,SERC,,"111,818","111,818","severe weather, winter storm",Northern Arkansas,Arkansas
Ice Storm,2009,1/27/2009,5:00 a.m.,1/29/2009,4:30 p.m.,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,,"383,000","383,000","severe weather, winter storm",State of Kentucky,Kentucky
Ice Storm,2009,1/27/2009,9:45 p.m.,1/27/2009,10:17 p.m.,Tennessee Valley Autbority,TVA Service Territory,SERC,850,1,1,"severe weather, winter storm",Tennessee,Tennessee
Shed Load,2009,1/22/2009,4:00 p.m.,1/22/2009,5:05 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,50,"9,700","9,700",load shedding,"Crawfordsville, Indiana",Indiana
Fuel Supply Deficiency,2009,1/17/2009,8:00 a.m.,1/25/2009,8:00 a.m.,"State Line Energy, LLC","PJM, Indiana",RFC,,,,fuel supply emergency,"PJM, Indiana",Indiana
Transmission Equipment Failure,2009,1/8/2009,11:46 p.m.,1/9/2009,11:25 a.m.,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FRCC,55,"31,000","31,000","equipment failure, transmission interruption",Florida Keys,Florida
High Winds,2009,1/7/2009,5:00 p.m.,1/7/2009,8:05 p.m.,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,300,"70,000","70,000","severe weather, wind",Piedmont of North and South Carolina,South Carolina
Severe Storm,2009,1/5/2009,5:00 a.m.,1/6/2009,6:00 p.m.,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,,"157,019","157,019","severe weather, storm",North and Central Texas,Texas
Shed Firm Load,2008,12/30/2008,4:02 p.m.,12/30/2008,4:37 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,41,"9,700","9,700",load shedding,"Crawfordsville, Indiana",Indiana
Wind Storm,2008,12/28/2008,4:45 a.m.,12/31/2008,6:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,,"210,517","210,517","severe weather, wind",Michigan Lower Peninsula,Michigan
Wind Storm,2008,12/28/2008,11:45 a.m.,12/28/2008,11:30 p.m.,Midwest ISO,Michigan Lower Peninsula,RFC,,"230,000","230,000","severe weather, wind",Michigan Lower Peninsula,Michigan
Wind Storm,2008,12/27/2008,4:00 p.m.,1/1/2008,11:30 p.m.,DTE Energy,Southeastern Michigan,RFC,,"247,847","247,847","severe weather, wind",Southeastern Michigan,Michigan
Lightning,2008,12/26/2008,6:13 p.m.,12/27/2008,5:00 p.m.,"Hawaiian Electric Company, Inc.","Island of Oahu, Hawaii",HI,"1,060","294,000","294,000","severe weather, thunderstorm",Hawaii,Hawaii
Load Shedding,2008,12/26/2008,11:40 a.m.,12/26/2008,3:34 p.m.,Sacramento Municipal Utility District,"Orangevale Area of Sacramento, California",WECC,110,"50,000","50,000",load shedding,California,California
Ice Storm,2008,12/19/2008,9:00 a.m.,12/20/2008,8:20 a.m.,Midwest ISO,Northwest Indiana,RFC,,"50,000","50,000","severe weather, winter storm",Northwest Indiana,Indiana
Electrical System Separation,2008,12/19/2008,1:02 a.m.,12/19/2008,6:17 a.m.,Pacific Gas and Electric Company,"East of Oroville, California",WECC,1,638,638,islanding,"East of Oroville, California",California
Ice Storm,2008,12/19/2008,8:30 a.m.,12/22/2008,12:00 p.m.,American Electric Power,"Indiana, Michigan and Northwest Ohio",RFC,,"140,000","140,000","severe weather, winter storm","Indiana, Michigan and Northwest Ohio",Ohio
Declared Stage 1 Electric Emergency/Made Public Appeal,2008,12/13/2008,3:30 p.m.,12/21/2008,9:17 a.m.,Pacific Gas and Electric Company,Humboldt Area of California,WECC,5,0,0,public appeal,Humboldt Area of California,California
Ice Storm,2008,12/12/2008,8:45 a.m.,12/14/2008,9:52 a.m.,Central Maine Power Company,Southern and Central Maine,NPCC,,"169,757","169,757","severe weather, winter storm",Southern and Central Maine,Maine
Ice Storm,2008,12/12/2008,1:00 a.m.,12/22/2008,12:00 a.m.,ISO New England,New England,NPCC,,"970,000","970,000","severe weather, winter storm",New England,New England
Ice Storm,2008,12/12/2008,2:38 a.m.,12/19/2008,1:24 p.m.,National Grid,Eastern New York,NPCC,200,"190,000","190,000","severe weather, winter storm",Eastern New York,New York
Ice Storm,2008,12/11/2008,6:00 p.m.,12/15/2008,12:00 a.m.,Central Hudson Gas and Electric,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,,"60,000","60,000","severe weather, winter storm",Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,New York
Snow Storm,2008,12/11/2008,9:00 a.m.,12/13/2008,11:59 p.m.,Entergy Corporation,"Southern Louisiana, Southern and Central Mississippi",SERC,,"91,300","91,300","severe weather, winter storm","Southern Louisiana, Southern and Central Mississippi",Mississippi
Equipment Failure/Made Public Appeal,2008,12/10/2008,5:09 p.m.,12/10/2008,8:29 p.m.,PacifiCorp,Southern Oregon,WECC,32,3,3,"equipment failure, public appeal",Southern Oregon,Oregon
Lines Loss/Transmission,2008,12/9/2008,5:27 p.m.,12/10/2008,4:12 a.m.,Jersey Central Power and Light,Central New Jersey,RFC,438,"156,729","156,729",transmission interruption,Central New Jersey,New Jersey
Fire/Load Shedding,2008,12/2/2008,4:30 a.m.,12/2/2008,7:00 a.m.,Midwest ISO,"St. Louis, Missouri",RFC,135,"53,000","53,000","wild fire, load shedding","St. Louis, Missouri",Missouri
Brush Fire/Shed Firm Load,2008,11/15/2008,9:39 a.m.,11/15/2008,10:10 a.m.,Los Angeles Department of Water and Power,City of Los Angeles,WECC,211,"115,500","115,500","wild fire, load shedding",California,California
Shed Firm Load,2008,11/11/2008,8:30 a.m.,11/11/2008,12:19 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,250,"261,000","261,000",load shedding,Island of Puerto Rico,Puerto Rico
Load Shedding,2008,11/7/2008,11:15 a.m.,11/7/2008,11:54 a.m.,California ISO,Southern California,WECC,430,"400,000","400,000",load shedding,Southern California,California
Load Shedding,2008,11/7/2008,11:13 a.m.,11/7/2008,11:54 a.m.,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,250,"140,000","140,000",load shedding,Goleta and Santa Barbara Areas of Southern California,California
Severe Storm,2008,10/25/2008,11:00 p.m.,10/27/2008,7:00 a.m.,ISO New England,Connecticut,NPCC,,"52,000","52,000","severe weather, storm",Connecticut,Connecticut
Load Shedding,2008,10/2/2008,2:50 p.m.,10/2/2008,9:50 a.m.,Dow Chemical Company,Louisiana,SERC,200,0,0,load shedding,Louisiana,Louisiana
Electrical System Separation,2008,9/30/2008,2:02 p.m.,9/30/2008,2:05 p.m.,Pacific Gas and Electric Company,"Plumas County, California",WECC,30,"10,000","10,000",islanding,"Plumas County, California",California
Shed Firm Load,2008,9/22/2008,5:49 p.m.,9/22/2008,6:39 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,125,"43,600","43,600",load shedding,Island of Puerto Rico,Puerto Rico
Tropical Depression Ike,2008,9/15/2008,12:37 a.m.,9/19/2008,4:30 p.m.,Allegheny Power,Western Pennsylvania,RFC,546,"160,875","160,875","severe weather, hurricane/tropical storm",Western Pennsylvania,Pennsylvania
Wind Storm,2008,9/14/2008,5:00 p.m.,9/22/2008,5:11 p.m.,Ohio Edison Company,"Southern, Eastern, and Central Ohio",RFC,469,"564,728","564,728","severe weather, wind","Southern, Eastern, and Central Ohio",Ohio
High Winds,2008,9/14/2008,10:01 a.m.,9/21/2008,5:00 p.m.,Owensboro Municipal Utilities,"City of Owensboro, Kentucky",RFC,70,"18,000","18,000","severe weather, wind","City of Owensboro, Kentucky",Kentucky
Tropical Depression Ike,2008,9/14/2008,11:30 a.m.,9/14/2008,4:30 p.m.,Louisville Gas/Kentucky Utilities,State of Kentucky,RFC,,"375,000","375,000","severe weather, hurricane/tropical storm",State of Kentucky,Kentucky
Wind Storm,2008,9/14/2008,5:00 p.m.,9/22/2008,3:20 a.m.,Cleveland Electric Illuminating Company,Northeast Ohio,RFC,430,"245,164","245,164","severe weather, wind",Northeast Ohio,Ohio
Hurricane Ike,2008,9/14/2008,7:30 a.m.,9/18/2008,3:00 p.m.,Ameren Corporation,Missouri and Illinois,MRO,,"107,000","107,000","severe weather, hurricane/tropical storm",Missouri and Illinois,Missouri
Tropical Depression Ike,2008,9/14/2008,6:30 a.m.,9/14/2008,2:38 p.m.,Midwest ISO,"Ohio, Kentucky, Indiana",RFC,,"875,000","875,000","severe weather, hurricane/tropical storm","Ohio, Kentucky, Indiana",Ohio
